,pais_origem,pais_visitado,dist_origem,dist_paisvist,k6_returner,k6_explorer,k6_root_cat,k6_sub_cat,k10_returner,k10_explorer,k10_root_cat,k10_sub_cat,all_sub_cat,all_root_cat
1752827_FROM_MX_IN_US,MX,US,1.746938576,2.4592539601,1,0,"Food,Food,Travel & Transport,Arts & Entertainment,Professional & Other Places,Food","Mexican Restaurant,Coffee Shop,Airport,Multiplex,Tech Startup,Taco Place",1,0,"Food,Food,Travel & Transport,Arts & Entertainment,Professional & Other Places,Food,Food,Food,Travel & Transport,Food","Mexican Restaurant,Coffee Shop,Airport,Multiplex,Tech Startup,Taco Place,Mexican Restaurant,Snack Place,Airport Lounge,Taco Place","Mexican Restaurant,Coffee Shop,Airport,Multiplex,Tech Startup,Taco Place,Snack Place,Airport Lounge,Gas Station / Garage,Pool,Residential Building (Apartment / Condo),Lounge,Gastropub,Food Truck,Housing Development,Wings Joint,Movie Theater,Seafood Restaurant,Car Dealership,Burger Joint,American Restaurant,Bar,Pool Hall,Fast Food Restaurant,Sandwich Place,Fair","Food,Travel & Transport,Arts & Entertainment,Professional & Other Places,Shop & Service,Outdoors & Recreation,Residence,Nightlife Spot"
27363300_FROM_JP_IN_ID,JP,ID,0.8008583656,1.9132784622,1,0,"Professional & Other Places,Shop & Service,Travel & Transport,Food,Nightlife Spot,Travel & Transport","Office,Mall,Train Station,Ramen / Noodle House,Cocktail Bar,Airport",1,0,"Professional & Other Places,Shop & Service,Travel & Transport,Food,Nightlife Spot,Travel & Transport,Food,Shop & Service,Food,Professional & Other Places","Office,Mall,Train Station,Ramen / Noodle House,Cocktail Bar,Airport,Japanese Restaurant,Automotive Shop,French Restaurant,Government Building","Office,Mall,Train Station,Ramen / Noodle House,Cocktail Bar,Airport,Japanese Restaurant,Automotive Shop,French Restaurant,Government Building,Video Store,Hotel,General Entertainment,Convenience Store,Mobile Phone Shop,Airport Lounge,Diner,Chinese Restaurant,American Restaurant,Buddhist Temple,Building,Café","Professional & Other Places,Shop & Service,Travel & Transport,Food,Nightlife Spot,Arts & Entertainment"
2347766_FROM_ID_IN_MY,ID,MY,1.6984815031,2.000778539,1,0,"Travel & Transport,Travel & Transport,Travel & Transport,Professional & Other Places,Food,Outdoors & Recreation","Airport,Airport,Airport,Tech Startup,Sundanese Restaurant,City",1,0,"Travel & Transport,Travel & Transport,Travel & Transport,Professional & Other Places,Food,Outdoors & Recreation,Travel & Transport,Outdoors & Recreation,Travel & Transport,Food","Airport,Airport,Airport,Tech Startup,Sundanese Restaurant,City,Resort,Mountain,Rest Area,Indonesian Restaurant","Airport,Tech Startup,Sundanese Restaurant,City,Resort,Mountain,Rest Area,Indonesian Restaurant,Government Building,Coffee Shop,Bridge,Hotel,Food & Drink Shop,Javanese Restaurant,General Travel,Mall,Diner,Road,Home (private),Soup Place,Restaurant,Airport Terminal,Padangnese Restaurant","Travel & Transport,Professional & Other Places,Food,Outdoors & Recreation,Shop & Service,Residence"
44017234_FROM_ID_IN_MY,ID,MY,1.6153410372,1.6187294852,1,0,"Professional & Other Places,Food,Travel & Transport,Shop & Service,Food,Shop & Service","High School,Japanese Restaurant,Airport,Mall,Coffee Shop,Mall",0,0,"Outdoors & Recreation,Travel & Transport,Travel & Transport,Travel & Transport,Travel & Transport,Shop & Service,Travel & Transport,Shop & Service,Food,Food","Park,Airport Lounge,Airport Lounge,Train Station,Airport Gate,Car Dealership,Train Station,Salon / Barbershop,Thai Restaurant,Coffee Shop","High School,Japanese Restaurant,Airport,Mall,Coffee Shop,Café,Bistro","Professional & Other Places,Food,Travel & Transport,Shop & Service"
11738679_FROM_US_IN_GB,US,GB,2.0323291591,1.9373396637,1,0,"Nightlife Spot,Nightlife Spot,Travel & Transport,Nightlife Spot,Travel & Transport,Nightlife Spot","Brewery,Lounge,Airport,Bar,Airport,Bar",1,0,"Nightlife Spot,Nightlife Spot,Travel & Transport,Nightlife Spot,Travel & Transport,Nightlife Spot,Nightlife Spot,Food,Nightlife Spot,Food","Brewery,Lounge,Airport,Bar,Airport,Bar,Brewery,Italian Restaurant,Brewery,Southern / Soul Food Restaurant","Brewery,Lounge,Airport,Bar,Italian Restaurant,Southern / Soul Food Restaurant,Park,Seafood Restaurant,Ice Cream Shop,Bookstore,Art Museum,Housing Development,National Park,Pub,Taco Place,Pier,American Restaurant,Tea Room,French Restaurant,Stadium,Coffee Shop,Thai Restaurant,Irish Pub,Sports Bar,Resort,Bridge,Mexican Restaurant,Café,Concert Hall,Vietnamese Restaurant,Baseball Stadium,Dive Bar","Nightlife Spot,Travel & Transport,Food,Outdoors & Recreation,Shop & Service,Arts & Entertainment,Residence"
27484223_FROM_MY_IN_GB,MY,GB,1.724730279,2.4005484577,1,0,"Nightlife Spot,Professional & Other Places,Travel & Transport,Food,Food,Professional & Other Places","Nightclub,Building,Train Station,African Restaurant,Thai Restaurant,Non-Profit",1,0,"Nightlife Spot,Professional & Other Places,Travel & Transport,Food,Food,Professional & Other Places,Food,Food,Shop & Service,Food","Nightclub,Building,Train Station,African Restaurant,Thai Restaurant,Non-Profit,Malaysian Restaurant,Asian Restaurant,Mall,Fast Food Restaurant","Nightclub,Building,Train Station,African Restaurant,Thai Restaurant,Non-Profit,Malaysian Restaurant,Asian Restaurant,Mall,Fast Food Restaurant,Airport,Airport Terminal,Mosque,Water Park,Café","Nightlife Spot,Professional & Other Places,Travel & Transport,Food,Shop & Service,Arts & Entertainment"
5826889_FROM_GB_IN_US,GB,US,1.9481659672,2.3448901214,1,0,"Arts & Entertainment,Outdoors & Recreation,Arts & Entertainment,Outdoors & Recreation,Nightlife Spot,Nightlife Spot","Bowling Alley,Farm,Concert Hall,Park,Cocktail Bar,Bar",1,0,"Arts & Entertainment,Outdoors & Recreation,Arts & Entertainment,Outdoors & Recreation,Nightlife Spot,Nightlife Spot,Food,Food,Nightlife Spot,Nightlife Spot","Bowling Alley,Farm,Concert Hall,Park,Cocktail Bar,Bar,Indian Restaurant,Pizza Place,Pub,Pub","Bowling Alley,Farm,Concert Hall,Park,Cocktail Bar,Bar,Indian Restaurant,Pizza Place,Pub,Chinese Restaurant","Arts & Entertainment,Outdoors & Recreation,Nightlife Spot,Food"
1411175_FROM_GB_IN_US,GB,US,1.7764936676,2.2484256347,0,1,"Food,Travel & Transport,Shop & Service,Arts & Entertainment,Shop & Service,Food","Chinese Restaurant,Airport,Warehouse Store,General Entertainment,Supermarket,Eastern European Restaurant",1,0,"Food,Travel & Transport,Shop & Service,Arts & Entertainment,Shop & Service,Food,Food,Travel & Transport,Food,Travel & Transport","Chinese Restaurant,Airport,Warehouse Store,General Entertainment,Supermarket,Eastern European Restaurant,Ice Cream Shop,Hotel,Coffee Shop,Plane","Chinese Restaurant,Airport,Warehouse Store,General Entertainment,Supermarket,Eastern European Restaurant,Ice Cream Shop,Hotel,Coffee Shop,Plane,Pub","Food,Travel & Transport,Shop & Service,Arts & Entertainment,Nightlife Spot"
77332546_FROM_BR_IN_US,BR,US,2.2015669274,2.1510010082,0,1,"Nightlife Spot,Travel & Transport,Event,Residence,Professional & Other Places,Residence","Dive Bar,Bus Station,Convention,Home (private),Club House,Home (private)",0,1,"Nightlife Spot,Travel & Transport,Event,Residence,Professional & Other Places,Residence,Residence,Event,Residence,Professional & Other Places","Dive Bar,Bus Station,Convention,Home (private),Club House,Home (private),Home (private),Festival,Housing Development,Non-Profit","Dive Bar,Bus Station,Convention,Home (private),Club House,Festival,Housing Development,Non-Profit,City,Bar,Radio Station,Wine Bar,Other Event,Beer Garden,BBQ Joint,Brewery,Salon / Barbershop,Warehouse,College Residence Hall,Office,Hotel,Plaza,Karaoke Bar,Residential Building (Apartment / Condo),Breakfast Spot,Field,Snack Place,Strip Club,Coworking Space,Gay Bar,Middle School,Road,Campaign Office,Public Art,Dentist's Office,Bank,Tech Startup,Church,Coffee Shop,Hospital,Assisted Living,Building,Doctor's Office,Water Park,Medical Center,Market,Men's Store,Bus Line,Argentinian Restaurant,Accessories Store,General Entertainment,Big Box Store,College Lab,Veterinarian,Daycare,Cosmetics Shop,Bathing Area,Bakery,Distribution Center,Advertising Agency,Aquarium,Music Festival,College Bookstore,Neighborhood,Conference Room,Spiritual Center,Deli / Bodega,Cheese Shop,Café,Speakeasy,Emergency Room,School,College Academic Building,Temple,Other Great Outdoors,Diner,Tattoo Parlor,General College & University,College Quad,Boutique,Restaurant,Miscellaneous Shop,Electronics Store,Drugstore / Pharmacy,Laboratory,Brazilian Restaurant,University,Mall,Flea Market,Cemetery,Food Truck,Grocery Store,Train Station,Automotive Shop,Italian Restaurant,Pizza Place,Paper / Office Supplies Store,Motel,College Classroom,Food Court,Hot Dog Joint,Arepa Restaurant","Nightlife Spot,Travel & Transport,Event,Residence,Professional & Other Places,Outdoors & Recreation,Food,Shop & Service,College & University,Arts & Entertainment"
6964272_FROM_BR_IN_US,BR,US,2.208059714,1.9624065432,0,1,"Residence,Shop & Service,Professional & Other Places,Food,Travel & Transport,Shop & Service","Home (private),Spa,Courthouse,Brazilian Restaurant,Airport,Mall",0,1,"Residence,Shop & Service,Professional & Other Places,Food,Travel & Transport,Shop & Service,Shop & Service,Arts & Entertainment,Food,Shop & Service","Home (private),Spa,Courthouse,Brazilian Restaurant,Airport,Mall,Salon / Barbershop,General Entertainment,Brazilian Restaurant,Farmers Market","Home (private),Spa,Courthouse,Brazilian Restaurant,Airport,Mall,Salon / Barbershop,General Entertainment,Farmers Market,Gas Station / Garage,Shoe Store,Café,Residential Building (Apartment / Condo),Supermarket,Argentinian Restaurant,Plane,Medical Center,Health Food Store,Italian Restaurant,Northern Brazilian Restaurant,Automotive Shop,Drugstore / Pharmacy,Clothing Store,Furniture / Home Store,Middle Eastern Restaurant,Grocery Store,Miscellaneous Shop,Convenience Store,Hotel,Non-Profit","Residence,Shop & Service,Professional & Other Places,Food,Travel & Transport,Arts & Entertainment"
