,pais_origem,pais_visitado,dist_origem,dist_paisvist,k6_returner,k6_explorer,k6_root_cat,k6_sub_cat,k10_returner,k10_explorer,k10_root_cat,k10_sub_cat,all_sub_cat,all_root_cat
23372475_FROM_BR_IN_US,BR,US,3.1832560006,2.3803490621,1,0,"Outdoors & Recreation,Travel & Transport,Travel & Transport,Travel & Transport,Food,Shop & Service","City,Road,Airport,Airport,Fast Food Restaurant,Mall",1,0,"Outdoors & Recreation,Travel & Transport,Travel & Transport,Travel & Transport,Food,Shop & Service,Food,Nightlife Spot,Food,Outdoors & Recreation","City,Road,Airport,Airport,Fast Food Restaurant,Mall,Pizza Place,Bar,BBQ Joint,City","City,Road,Airport,Fast Food Restaurant,Mall,Pizza Place,Bar,BBQ Joint,Restaurant,Movie Theater,General Entertainment","Outdoors & Recreation,Travel & Transport,Food,Shop & Service,Nightlife Spot,Arts & Entertainment"
4624924_FROM_MY_IN_ID,MY,ID,2.777005688,1.9567415314,1,0,"Outdoors & Recreation,Travel & Transport,Outdoors & Recreation,Arts & Entertainment,Professional & Other Places,Travel & Transport","Neighborhood,Airport,Park,Theme Park,Hospital,Boat or Ferry",1,0,"Outdoors & Recreation,Travel & Transport,Outdoors & Recreation,Arts & Entertainment,Professional & Other Places,Travel & Transport,Shop & Service,Outdoors & Recreation,Outdoors & Recreation,Residence","Neighborhood,Airport,Park,Theme Park,Hospital,Boat or Ferry,Mall,City,City,Home (private)","Neighborhood,Airport,Park,Theme Park,Hospital,Boat or Ferry,Mall,City,Home (private),Ramen / Noodle House,Resort,Middle Eastern Restaurant,Malaysian Restaurant","Outdoors & Recreation,Travel & Transport,Arts & Entertainment,Professional & Other Places,Shop & Service,Residence,Food"
1323940_FROM_US_IN_TR,US,TR,2.1969338776,1.8061046554,1,0,"Residence,Residence,Outdoors & Recreation,Food,Travel & Transport,Professional & Other Places","Home (private),Home (private),Gym,Café,Airport,Office",1,0,"Residence,Residence,Outdoors & Recreation,Food,Travel & Transport,Professional & Other Places,Arts & Entertainment,Outdoors & Recreation,Shop & Service,Travel & Transport","Home (private),Home (private),Gym,Café,Airport,Office,Art Gallery,Gym,Salon / Barbershop,Airport","Home (private),Gym,Café,Airport,Office,Art Gallery,Salon / Barbershop,Coffee Shop,Gay Bar,Coworking Space,American Restaurant,Surf Spot,Cocktail Bar,Cafeteria,Tattoo Parlor,New American Restaurant,Music Venue,Asian Restaurant,Beach,Building,Japanese Restaurant,Dessert Shop,Latin American Restaurant,Frozen Yogurt,Antique Shop,Pool,Pub,Restaurant,Market,Falafel Restaurant,Wine Bar,Breakfast Spot,Plaza,Nightclub,Vegetarian / Vegan Restaurant,Bar,Diner,Park,Taco Place,Supermarket,Ramen / Noodle House,Light Rail,Ice Cream Shop,Bakery,Italian Restaurant,Comfort Food Restaurant,Sushi Restaurant","Residence,Outdoors & Recreation,Food,Travel & Transport,Professional & Other Places,Arts & Entertainment,Shop & Service,Nightlife Spot"
23829771_FROM_ID_IN_MY,ID,MY,2.0485314261,1.952008741,1,0,"Shop & Service,Professional & Other Places,Travel & Transport,Outdoors & Recreation,Professional & Other Places,Outdoors & Recreation","Gas Station / Garage,Mosque,Bus Station,Other Great Outdoors,Mosque,Soccer Field",1,0,"Shop & Service,Professional & Other Places,Travel & Transport,Outdoors & Recreation,Professional & Other Places,Outdoors & Recreation,Food,Food,Outdoors & Recreation,Shop & Service","Gas Station / Garage,Mosque,Bus Station,Other Great Outdoors,Mosque,Soccer Field,Steakhouse,Coffee Shop,Mountain,Mall","Gas Station / Garage,Mosque,Bus Station,Other Great Outdoors,Soccer Field,Steakhouse,Coffee Shop,Mountain,Mall","Shop & Service,Professional & Other Places,Travel & Transport,Outdoors & Recreation,Food"
5569647_FROM_MX_IN_US,MX,US,1.6489134665,1.9404529042,1,0,"Professional & Other Places,Professional & Other Places,Food,Professional & Other Places,Travel & Transport,Professional & Other Places","Government Building,Parking,Coffee Shop,Office,Airport,Government Building",1,0,"Professional & Other Places,Professional & Other Places,Food,Professional & Other Places,Travel & Transport,Professional & Other Places,Professional & Other Places,Professional & Other Places,Food,Outdoors & Recreation","Government Building,Parking,Coffee Shop,Office,Airport,Government Building,Medical Center,Medical Center,Wings Joint,Park","Government Building,Parking,Coffee Shop,Office,Airport,Medical Center,Wings Joint,Park,Mexican Restaurant,Diner,Cupcake Shop,Playground,Ice Cream Shop,Comfort Food Restaurant,Hardware Store,Paella Restaurant,Buffet,Salon / Barbershop,Restaurant,Bank,Mall,Breakfast Spot,Hotel,Multiplex,Supermarket,Theater,Museum,American Restaurant,Hospital","Professional & Other Places,Food,Travel & Transport,Outdoors & Recreation,Shop & Service,Arts & Entertainment"
63961449_FROM_TR_IN_GB,TR,GB,1.9278075893,2.2846564821,0,1,"Professional & Other Places,Outdoors & Recreation,Outdoors & Recreation,Shop & Service,Professional & Other Places,Professional & Other Places","Coworking Space,Bridge,Bridge,Mall,Courthouse,Tech Startup",0,1,"Professional & Other Places,Outdoors & Recreation,Outdoors & Recreation,Shop & Service,Professional & Other Places,Professional & Other Places,Travel & Transport,Professional & Other Places,Residence,Professional & Other Places","Coworking Space,Bridge,Bridge,Mall,Courthouse,Tech Startup,General Travel,Building,Housing Development,Building","Coworking Space,Bridge,Mall,Courthouse,Tech Startup,General Travel,Building,Housing Development,Winery,General Entertainment,Other Great Outdoors,Park,Gym,Factory,Office,Beach,Garden,Automotive Shop,Restaurant,Airport Gate,Café,Dessert Shop,Government Building,Campground,Airport Terminal,Road,Rest Area,Neighborhood,Hotel,Light Rail,Museum,Hardware Store,City,Toll Plaza,University,Eastern European Restaurant,Residential Building (Apartment / Condo),Bank,Fire Station,Lake","Professional & Other Places,Outdoors & Recreation,Shop & Service,Travel & Transport,Residence,Arts & Entertainment,Food,College & University"
51687564_FROM_GB_IN_JP,GB,JP,1.5426431735,1.6863591795,1,0,"Travel & Transport,Professional & Other Places,Outdoors & Recreation,Food,Travel & Transport,Travel & Transport","Airport Terminal,Office,Gym / Fitness Center,Coffee Shop,Airport,Airport Gate",1,0,"Travel & Transport,Professional & Other Places,Outdoors & Recreation,Food,Travel & Transport,Travel & Transport,Food,Travel & Transport,Travel & Transport,Travel & Transport","Airport Terminal,Office,Gym / Fitness Center,Coffee Shop,Airport,Airport Gate,Coffee Shop,Subway,Airport Gate,Airport Gate","Airport Terminal,Office,Gym / Fitness Center,Coffee Shop,Airport,Airport Gate,Subway","Travel & Transport,Professional & Other Places,Outdoors & Recreation,Food"
1447855_FROM_JP_IN_US,JP,US,0.4202097728,1.7944099413,0,1,"Travel & Transport,Travel & Transport,Travel & Transport,Arts & Entertainment,Shop & Service,Travel & Transport","Airport Terminal,Airport,Airport Terminal,Art Museum,Mall,Airport Terminal",1,0,"Travel & Transport,Travel & Transport,Travel & Transport,Arts & Entertainment,Shop & Service,Travel & Transport,Travel & Transport,Travel & Transport,Food,Travel & Transport","Airport Terminal,Airport,Airport Terminal,Art Museum,Mall,Airport Terminal,Resort,Hotel,Italian Restaurant,Airport","Airport Terminal,Airport,Art Museum,Mall,Resort,Hotel,Italian Restaurant","Travel & Transport,Arts & Entertainment,Shop & Service,Food"
72585064_FROM_BR_IN_JP,BR,JP,2.3352087162,2.0899039254,1,0,"Residence,Shop & Service,Shop & Service,Shop & Service,Food,Shop & Service","Residential Building (Apartment / Condo),Miscellaneous Shop,Miscellaneous Shop,Mall,Sandwich Place,Department Store",1,0,"Residence,Shop & Service,Shop & Service,Shop & Service,Food,Shop & Service,Food,Food,Food,Food","Residential Building (Apartment / Condo),Miscellaneous Shop,Miscellaneous Shop,Mall,Sandwich Place,Department Store,Ice Cream Shop,Bakery,Pizza Place,Pizza Place","Residential Building (Apartment / Condo),Miscellaneous Shop,Mall,Sandwich Place,Department Store,Ice Cream Shop,Bakery,Pizza Place,Diner,Dive Bar,Plaza,Food Truck,Chinese Restaurant,BBQ Joint,Market,Restaurant,Bar,Beach,Coffee Shop,Lake,General Entertainment,Airport,Brazilian Restaurant,Theater,Art Gallery,Pool,Supermarket,Food,Steakhouse","Residence,Shop & Service,Food,Nightlife Spot,Outdoors & Recreation,Arts & Entertainment,Travel & Transport"
72585064_FROM_BR_IN_US,BR,US,2.3352087162,1.8135165534,1,0,"Residence,Shop & Service,Shop & Service,Shop & Service,Food,Shop & Service","Residential Building (Apartment / Condo),Miscellaneous Shop,Miscellaneous Shop,Mall,Sandwich Place,Department Store",1,0,"Residence,Shop & Service,Shop & Service,Shop & Service,Food,Shop & Service,Food,Food,Food,Food","Residential Building (Apartment / Condo),Miscellaneous Shop,Miscellaneous Shop,Mall,Sandwich Place,Department Store,Ice Cream Shop,Bakery,Pizza Place,Pizza Place","Residential Building (Apartment / Condo),Miscellaneous Shop,Mall,Sandwich Place,Department Store,Ice Cream Shop,Bakery,Pizza Place,Diner,Dive Bar,Plaza,Food Truck,Chinese Restaurant,BBQ Joint,Market,Restaurant,Bar,Beach,Coffee Shop,Lake,General Entertainment,Airport,Brazilian Restaurant,Theater,Art Gallery,Pool,Supermarket,Food,Steakhouse","Residence,Shop & Service,Food,Nightlife Spot,Outdoors & Recreation,Arts & Entertainment,Travel & Transport"
2170906_FROM_MY_IN_TR,MY,TR,2.9420570901,2.5400169453,1,0,"Professional & Other Places,Residence,Food,Food,College & University,Shop & Service","Coworking Space,Housing Development,Middle Eastern Restaurant,Asian Restaurant,College Residence Hall,Auto Garage",1,0,"Professional & Other Places,Residence,Food,Food,College & University,Shop & Service,Outdoors & Recreation,Food,Food,Food","Coworking Space,Housing Development,Middle Eastern Restaurant,Asian Restaurant,College Residence Hall,Auto Garage,Sports Club,Italian Restaurant,Mediterranean Restaurant,Café","Coworking Space,Housing Development,Middle Eastern Restaurant,Asian Restaurant,College Residence Hall,Auto Garage,Sports Club,Italian Restaurant,Mediterranean Restaurant,Café,Home (private),Malaysian Restaurant,Event Space,Road,Hotel,Karaoke Bar,Airport,University,Zoo,Hospital,Grocery Store,Flea Market","Professional & Other Places,Residence,Food,College & University,Shop & Service,Outdoors & Recreation,Travel & Transport,Nightlife Spot,Arts & Entertainment"
9918557_FROM_TR_IN_US,TR,US,1.4750504185,2.1072417623,1,0,"Outdoors & Recreation,Outdoors & Recreation,Nightlife Spot,Shop & Service,Outdoors & Recreation,Food","Other Great Outdoors,County,Bar,Mall,Neighborhood,Restaurant",0,0,"Travel & Transport,Travel & Transport,Arts & Entertainment,Food,Shop & Service,Shop & Service,Food,Food,Professional & Other Places,Food","Airport,Airport,Movie Theater,Japanese Restaurant,Mall,Mall,American Restaurant,Fried Chicken Joint,School,Japanese Restaurant","Other Great Outdoors,County,Bar,Mall,Neighborhood,Restaurant,Garden","Outdoors & Recreation,Nightlife Spot,Shop & Service,Food"
26509976_FROM_BR_IN_US,BR,US,2.5061728589,2.3533249476,1,0,"Outdoors & Recreation,Shop & Service,Travel & Transport,Shop & Service,Food,Shop & Service","Gymnastics Gym,Mall,Airport,Clothing Store,Coffee Shop,Mall",1,0,"Outdoors & Recreation,Shop & Service,Travel & Transport,Shop & Service,Food,Shop & Service,Event,Professional & Other Places,Residence,Food","Gymnastics Gym,Mall,Airport,Clothing Store,Coffee Shop,Mall,Street Fair,Hospital,Residential Building (Apartment / Condo),Fast Food Restaurant","Gymnastics Gym,Mall,Airport,Clothing Store,Coffee Shop,Street Fair,Hospital,Residential Building (Apartment / Condo),Fast Food Restaurant,General College & University,Chinese Restaurant,Bar,Pizza Place,Home (private)","Outdoors & Recreation,Shop & Service,Travel & Transport,Food,Event,Professional & Other Places,Residence,College & University,Nightlife Spot"
11715627_FROM_US_IN_GB,US,GB,1.602333768,2.0492070185,1,0,"Outdoors & Recreation,Food,Outdoors & Recreation,Nightlife Spot,Arts & Entertainment,Food","Gym,Deli / Bodega,Golf Course,Brewery,Racetrack,Thai Restaurant",0,1,"Outdoors & Recreation,Food,Outdoors & Recreation,Nightlife Spot,Arts & Entertainment,Food,Shop & Service,Event,Outdoors & Recreation,Arts & Entertainment","Gym,Deli / Bodega,Golf Course,Brewery,Racetrack,Thai Restaurant,Car Wash,Festival,Mountain,Movie Theater","Gym,Deli / Bodega,Golf Course,Brewery,Racetrack,Thai Restaurant,Car Wash,Festival,Mountain,Movie Theater,American Restaurant,Bar,Café,Airport,Seafood Restaurant,Veterinarian,Mall,Italian Restaurant,Pizza Place,Coffee Shop,Sushi Restaurant,Taco Place,Baseball Stadium","Outdoors & Recreation,Food,Nightlife Spot,Arts & Entertainment,Shop & Service,Event,Travel & Transport,Professional & Other Places"
58610369_FROM_MY_IN_ID,MY,ID,1.4917130409,2.43379903,1,0,"Professional & Other Places,Professional & Other Places,Professional & Other Places,Professional & Other Places,Food,Residence","Office,Office,Hospital,Hospital,Malaysian Restaurant,Home (private)",1,0,"Professional & Other Places,Professional & Other Places,Professional & Other Places,Professional & Other Places,Food,Residence,Food,Professional & Other Places,Food,Food","Office,Office,Hospital,Hospital,Malaysian Restaurant,Home (private),Café,Government Building,Sandwich Place,Café","Office,Hospital,Malaysian Restaurant,Home (private),Café,Government Building,Sandwich Place,Coworking Space,Building,American Restaurant,Mall,Food Court,Doctor's Office,Train Station,Seafood Restaurant,Multiplex,Vietnamese Restaurant,Automotive Shop","Professional & Other Places,Food,Residence,Shop & Service,Travel & Transport,Arts & Entertainment"
26937331_FROM_MX_IN_US,MX,US,1.8554692911,1.9924625561,1,0,"Food,Travel & Transport,Shop & Service,Shop & Service,Shop & Service,Food","American Restaurant,Airport,Department Store,Mall,Bookstore,Coffee Shop",1,0,"Food,Travel & Transport,Shop & Service,Shop & Service,Shop & Service,Food,Food,Residence,Travel & Transport,Travel & Transport","American Restaurant,Airport,Department Store,Mall,Bookstore,Coffee Shop,American Restaurant,Residential Building (Apartment / Condo),Airport Terminal,Airport Gate","American Restaurant,Airport,Department Store,Mall,Bookstore,Coffee Shop,Residential Building (Apartment / Condo),Airport Terminal,Airport Gate,Multiplex,Office,Airport Lounge,Japanese Restaurant,Donut Shop,Italian Restaurant,University,Sushi Restaurant,Park,Pizza Place,Restaurant","Food,Travel & Transport,Shop & Service,Residence,Arts & Entertainment,Professional & Other Places,College & University,Outdoors & Recreation"
6083635_FROM_MX_IN_US,MX,US,1.7372413883,1.8791840733,0,1,"Professional & Other Places,Nightlife Spot,Residence,College & University,Nightlife Spot,Travel & Transport","Doctor's Office,Brewery,Home (private),Student Center,Speakeasy,Hotel",0,1,"Professional & Other Places,Nightlife Spot,Residence,College & University,Nightlife Spot,Travel & Transport,Shop & Service,Food,Shop & Service,Shop & Service","Doctor's Office,Brewery,Home (private),Student Center,Speakeasy,Hotel,Supermarket,Coffee Shop,Mall,Music Store","Doctor's Office,Brewery,Home (private),Student Center,Speakeasy,Hotel,Supermarket,Coffee Shop,Mall,Music Store,Castle,Big Box Store,Department Store,Building,Bus Station,Warehouse Store,Airport,Airport Lounge,Taco Place,Hardware Store,General Travel,Multiplex,Hospital,Conference Room,Historic Site,Mexican Restaurant,Automotive Shop,Garden,Steakhouse","Professional & Other Places,Nightlife Spot,Residence,College & University,Travel & Transport,Shop & Service,Food,Outdoors & Recreation,Arts & Entertainment"
18780472_FROM_BR_IN_US,BR,US,2.8488771098,1.6999642277,1,0,"Shop & Service,Travel & Transport,Shop & Service,Outdoors & Recreation,Professional & Other Places,Professional & Other Places","Department Store,Airport,Mall,Neighborhood,Building,Building",1,0,"Shop & Service,Travel & Transport,Shop & Service,Outdoors & Recreation,Professional & Other Places,Professional & Other Places,Food,Professional & Other Places,Food,Professional & Other Places","Department Store,Airport,Mall,Neighborhood,Building,Building,Restaurant,Monument / Landmark,Bakery,Event Space","Department Store,Airport,Mall,Neighborhood,Building,Restaurant,Monument / Landmark,Bakery,Event Space,Bar,Historic Site,Nightclub,Post Office,Church,Dessert Shop,Soccer Stadium,Beer Garden,Italian Restaurant,Gourmet Shop,Resort","Shop & Service,Travel & Transport,Outdoors & Recreation,Professional & Other Places,Food,Nightlife Spot,Arts & Entertainment"
1062969_FROM_MY_IN_ID,MY,ID,1.9203740116,1.6454315701,1,0,"Travel & Transport,Outdoors & Recreation,Travel & Transport,Travel & Transport,Residence,Travel & Transport","Airport,Lake,Train Station,Airport Lounge,Residential Building (Apartment / Condo),Airport Terminal",1,0,"Travel & Transport,Outdoors & Recreation,Travel & Transport,Travel & Transport,Residence,Travel & Transport,Shop & Service,Shop & Service,Professional & Other Places,Shop & Service","Airport,Lake,Train Station,Airport Lounge,Residential Building (Apartment / Condo),Airport Terminal,Mall,Department Store,Convention Center,Bike Shop","Airport,Lake,Train Station,Airport Lounge,Residential Building (Apartment / Condo),Airport Terminal,Mall,Department Store,Convention Center,Bike Shop,Multiplex","Travel & Transport,Outdoors & Recreation,Residence,Shop & Service,Professional & Other Places,Arts & Entertainment"
11342553_FROM_GB_IN_US,GB,US,1.4082413193,1.6467328187,1,0,"Travel & Transport,Travel & Transport,Food,Travel & Transport,Travel & Transport,Travel & Transport","Airport Terminal,Airport,Café,Airport,Train Station,Train Station",1,0,"Travel & Transport,Travel & Transport,Food,Travel & Transport,Travel & Transport,Travel & Transport,Travel & Transport,Nightlife Spot,Travel & Transport,Nightlife Spot","Airport Terminal,Airport,Café,Airport,Train Station,Train Station,Train Station,Pub,Train Station,Pub","Airport Terminal,Airport,Café,Train Station,Pub,Park,Gay Bar","Travel & Transport,Food,Nightlife Spot,Outdoors & Recreation"
8432690_FROM_MY_IN_ID,MY,ID,1.3437625634,2.1854361589,1,0,"Shop & Service,Food,Food,Food,Outdoors & Recreation,Food","Mall,Sushi Restaurant,Coffee Shop,Asian Restaurant,Gym,Ramen / Noodle House",1,0,"Shop & Service,Food,Food,Food,Outdoors & Recreation,Food,Arts & Entertainment,Food,Food,Travel & Transport","Mall,Sushi Restaurant,Coffee Shop,Asian Restaurant,Gym,Ramen / Noodle House,Multiplex,Chinese Restaurant,Ramen / Noodle House,Airport Terminal","Mall,Sushi Restaurant,Coffee Shop,Asian Restaurant,Gym,Ramen / Noodle House,Multiplex,Chinese Restaurant,Airport Terminal,Movie Theater,Fried Chicken Joint,Stadium,Fish & Chips Shop,Dessert Shop","Shop & Service,Food,Outdoors & Recreation,Arts & Entertainment,Travel & Transport"
67307510_FROM_JP_IN_US,JP,US,2.466375908,1.4316949961,1,0,"Travel & Transport,Arts & Entertainment,Travel & Transport,Outdoors & Recreation,Professional & Other Places,Travel & Transport","Train Station,Rock Club,Airport Terminal,Park,Government Building,Train Station",1,0,"Travel & Transport,Arts & Entertainment,Travel & Transport,Outdoors & Recreation,Professional & Other Places,Travel & Transport,Nightlife Spot,Food,Shop & Service,Professional & Other Places","Train Station,Rock Club,Airport Terminal,Park,Government Building,Train Station,Nightclub,Ramen / Noodle House,Convenience Store,Office","Train Station,Rock Club,Airport Terminal,Park,Government Building,Nightclub,Ramen / Noodle House,Convenience Store,Office,Food Court,Restaurant,Chinese Restaurant,Automotive Shop,Toy / Game Store,Rest Area,Monument / Landmark,Mall,Platform","Travel & Transport,Arts & Entertainment,Outdoors & Recreation,Professional & Other Places,Nightlife Spot,Food,Shop & Service"
55500061_FROM_US_IN_TR,US,TR,1.8301411498,1.5606182999,1,0,"Travel & Transport,Travel & Transport,Shop & Service,Outdoors & Recreation,Nightlife Spot,Shop & Service","Airport,Airport,Mall,Gym,Sports Bar,Drugstore / Pharmacy",1,0,"Travel & Transport,Travel & Transport,Shop & Service,Outdoors & Recreation,Nightlife Spot,Shop & Service,Outdoors & Recreation,Shop & Service,Residence,Professional & Other Places","Airport,Airport,Mall,Gym,Sports Bar,Drugstore / Pharmacy,Beach,Boutique,Residential Building (Apartment / Condo),Government Building","Airport,Mall,Gym,Sports Bar,Drugstore / Pharmacy,Beach,Boutique,Residential Building (Apartment / Condo),Government Building,Home (private)","Travel & Transport,Shop & Service,Outdoors & Recreation,Nightlife Spot,Residence,Professional & Other Places"
62736481_FROM_MX_IN_US,MX,US,2.1877321032,1.9960072483,1,0,"Food,Nightlife Spot,Travel & Transport,Travel & Transport,Food,Travel & Transport","Mexican Restaurant,Nightclub,Airport Terminal,Airport Terminal,Argentinian Restaurant,Road",1,0,"Food,Nightlife Spot,Travel & Transport,Travel & Transport,Food,Travel & Transport,Travel & Transport,Nightlife Spot,Arts & Entertainment,Food","Mexican Restaurant,Nightclub,Airport Terminal,Airport Terminal,Argentinian Restaurant,Road,Airport,Bar,Casino,Argentinian Restaurant","Mexican Restaurant,Nightclub,Airport Terminal,Argentinian Restaurant,Road,Airport,Bar,Casino,Sports Bar,Veterinarian,Building,Field","Food,Nightlife Spot,Travel & Transport,Arts & Entertainment,Professional & Other Places,Outdoors & Recreation"
43500716_FROM_TR_IN_US,TR,US,2.2041347825,1.9765268747,1,0,"College & University,Food,Shop & Service,Food,Food,Outdoors & Recreation","University,Café,Mall,Café,Ice Cream Shop,Other Great Outdoors",1,0,"College & University,Food,Shop & Service,Food,Food,Outdoors & Recreation,Food,Food,Residence,Food","University,Café,Mall,Café,Ice Cream Shop,Other Great Outdoors,Café,Café,Home (private),Café","University,Café,Mall,Ice Cream Shop,Other Great Outdoors,Home (private)","College & University,Food,Shop & Service,Outdoors & Recreation,Residence"
42249510_FROM_BR_IN_US,BR,US,3.0371762027,1.7135685284,0,1,"Residence,Food,Shop & Service,Residence,College & University,Nightlife Spot","Home (private),Bakery,Food & Drink Shop,Home (private),College Technology Building,Dive Bar",0,1,"Residence,Food,Shop & Service,Residence,College & University,Nightlife Spot,Food,Food,Food,Nightlife Spot","Home (private),Bakery,Food & Drink Shop,Home (private),College Technology Building,Dive Bar,Snack Place,Bakery,Pizza Place,Bar","Home (private),Bakery,Food & Drink Shop,College Technology Building,Dive Bar,Snack Place,Pizza Place,Bar,General Entertainment,High School,Lottery Retailer,Factory,Beer Garden,Nightclub,Supermarket,Restaurant,Automotive Shop,Music Venue,Neighborhood,Food Truck,Mall,Hospital,Mineiro Restaurant","Residence,Food,Shop & Service,College & University,Nightlife Spot,Arts & Entertainment,Professional & Other Places,Outdoors & Recreation"
35212088_FROM_GB_IN_TR,GB,TR,2.2323895561,1.4021557959,1,0,"Arts & Entertainment,Outdoors & Recreation,Travel & Transport,Shop & Service,Professional & Other Places,Shop & Service","Soccer Stadium,Gym,Airport,Salon / Barbershop,Hospital,Mall",1,0,"Arts & Entertainment,Outdoors & Recreation,Travel & Transport,Shop & Service,Professional & Other Places,Shop & Service,Food,Nightlife Spot,Food,Food","Soccer Stadium,Gym,Airport,Salon / Barbershop,Hospital,Mall,Cuban Restaurant,Pub,Cigkofte Place,Mediterranean Restaurant","Soccer Stadium,Gym,Airport,Salon / Barbershop,Hospital,Mall,Cuban Restaurant,Pub,Cigkofte Place,Mediterranean Restaurant,Miscellaneous Shop,Plaza,Government Building,Park,Hotel,Monument / Landmark,Electronics Store,Movie Theater,Capitol Building,Train Station","Arts & Entertainment,Outdoors & Recreation,Travel & Transport,Shop & Service,Professional & Other Places,Food,Nightlife Spot"
51042239_FROM_MX_IN_US,MX,US,2.4363067251,2.2306776711,1,0,"Outdoors & Recreation,Outdoors & Recreation,Outdoors & Recreation,Outdoors & Recreation,Shop & Service,Food","Gym / Fitness Center,Golf Course,Gym / Fitness Center,Other Great Outdoors,Mall,Coffee Shop",1,0,"Outdoors & Recreation,Outdoors & Recreation,Outdoors & Recreation,Outdoors & Recreation,Shop & Service,Food,Outdoors & Recreation,Food,Food,Food","Gym / Fitness Center,Golf Course,Gym / Fitness Center,Other Great Outdoors,Mall,Coffee Shop,Neighborhood,Taco Place,Italian Restaurant,Steakhouse","Gym / Fitness Center,Golf Course,Other Great Outdoors,Mall,Coffee Shop,Neighborhood,Taco Place,Italian Restaurant,Steakhouse,Salon / Barbershop,Burger Joint,Theater","Outdoors & Recreation,Shop & Service,Food,Arts & Entertainment"
4937981_FROM_US_IN_GB,US,GB,2.6316573204,3.1734300738,1,0,"Travel & Transport,Food,Travel & Transport,Professional & Other Places,Travel & Transport,Nightlife Spot","Airport,Coffee Shop,Train Station,Office,Train Station,Bar",1,0,"Travel & Transport,Food,Travel & Transport,Professional & Other Places,Travel & Transport,Nightlife Spot,Nightlife Spot,Shop & Service,Shop & Service,Food","Airport,Coffee Shop,Train Station,Office,Train Station,Bar,Beer Garden,Salon / Barbershop,Mall,Gastropub","Airport,Coffee Shop,Train Station,Office,Bar,Beer Garden,Salon / Barbershop,Mall,Gastropub,BBQ Joint","Travel & Transport,Food,Professional & Other Places,Nightlife Spot,Shop & Service"
7162294_FROM_MX_IN_US,MX,US,3.0914303232,2.2657481209,0,1,"Outdoors & Recreation,Arts & Entertainment,Outdoors & Recreation,Nightlife Spot,Professional & Other Places,Food","Gym,Soccer Stadium,Neighborhood,Bar,Building,Burger Joint",0,1,"Outdoors & Recreation,Arts & Entertainment,Outdoors & Recreation,Nightlife Spot,Professional & Other Places,Food,Shop & Service,Professional & Other Places,Shop & Service,Travel & Transport","Gym,Soccer Stadium,Neighborhood,Bar,Building,Burger Joint,Automotive Shop,Professional & Other Places,Automotive Shop,General Travel","Gym,Soccer Stadium,Neighborhood,Bar,Building,Burger Joint,Automotive Shop,Professional & Other Places,General Travel,Government Building,Community College,Other Great Outdoors","Outdoors & Recreation,Arts & Entertainment,Nightlife Spot,Professional & Other Places,Food,Shop & Service,Travel & Transport,College & University"
3166414_FROM_MY_IN_JP,MY,JP,2.9630381097,1.2438027458,1,0,"Professional & Other Places,Arts & Entertainment,Travel & Transport,Shop & Service,Shop & Service,Food","Office,Multiplex,Airport Terminal,Mall,Mall,Restaurant",1,0,"Professional & Other Places,Arts & Entertainment,Travel & Transport,Shop & Service,Shop & Service,Food,Professional & Other Places,Food,Food,Food","Office,Multiplex,Airport Terminal,Mall,Mall,Restaurant,Office,Malaysian Restaurant,Chinese Restaurant,Japanese Restaurant","Office,Multiplex,Airport Terminal,Mall,Restaurant,Malaysian Restaurant,Chinese Restaurant,Japanese Restaurant,College & University,Airport Gate,Sandwich Place,Australian Restaurant,General College & University,University,Fast Food Restaurant,Karaoke Bar,Other Event","Professional & Other Places,Arts & Entertainment,Travel & Transport,Shop & Service,Food,College & University,Nightlife Spot,Event"
25656538_FROM_MY_IN_ID,MY,ID,2.1941770186,2.2128020294,1,0,"Residence,Travel & Transport,Travel & Transport,Outdoors & Recreation,Professional & Other Places,Professional & Other Places","Residential Building (Apartment / Condo),Airport Terminal,Airport,City,High School,Building",0,0,"Travel & Transport,Travel & Transport,Travel & Transport,Travel & Transport,Travel & Transport,Travel & Transport,Travel & Transport,Travel & Transport,Food,Travel & Transport","Train Station,Airport,Train Station,Airport Gate,Airport,Intersection,Train Station,Airport Lounge,Japanese Restaurant,Airport Gate","Residential Building (Apartment / Condo),Airport Terminal,Airport,City,High School,Building,Home (private),Airport Gate","Residence,Travel & Transport,Outdoors & Recreation,Professional & Other Places"
